,,mean,mean,mean,count,count,count
,,correct,correct,correct,correct,correct,correct
condition,,,blind,inst blind,,blind,inst blind
model,folder,,,,,,
InternVL3_5-1B,pretrained,0.4349775784753363,0.29596412556053814,0.2825112107623318,223.0,223.0,223.0
InternVL3_5-2B,pretrained,0.5112107623318386,0.2600896860986547,0.2242152466367713,223.0,223.0,223.0
InternVL3_5-4B,pretrained,0.6143497757847534,0.26905829596412556,0.25112107623318386,223.0,223.0,223.0
InternVL3_5-8B,pretrained,0.6098654708520179,0.33183856502242154,0.33183856502242154,223.0,223.0,223.0
Qwen3-8B-Base,pretrained,0.19730941704035873,,,223.0,,
Qwen3-VL-2B-Instruct,pretrained,0.5605381165919282,0.21973094170403587,0.27802690582959644,223.0,223.0,223.0
Qwen3-VL-4B-Instruct,A0_SFT_vqa_gt,0.6053811659192825,,0.29596412556053814,223.0,,223.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_blind_n10,0.5964125560538116,0.28699551569506726,0.2914798206278027,223.0,223.0,223.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_n15_blind_inst,0.5829596412556054,,0.27802690582959644,223.0,,223.0
Qwen3-VL-4B-Instruct,D1_JS_mmstar_blind,0.5919282511210763,0.2914798206278027,0.2914798206278027,223.0,223.0,223.0
Qwen3-VL-4B-Instruct,pretrained,0.6322869955156951,0.31390134529147984,0.2914798206278027,223.0,223.0,223.0
Qwen3-VL-8B-Instruct,A0_JS_vqa_gt_10,,,0.3094170403587444,,,223.0
Qwen3-VL-8B-Instruct,A0_SFT_vqa_gt,0.672645739910314,,0.3094170403587444,223.0,,223.0
Qwen3-VL-8B-Instruct,A1_JS_vqa_blind_n10,0.6636771300448431,,0.2825112107623318,223.0,,223.0
Qwen3-VL-8B-Instruct,D0_SFT_mmstar_blind,0.6412556053811659,,0.3273542600896861,223.0,,223.0
Qwen3-VL-8B-Instruct,Qwen3-VL-8B-Instruct_A1_JS_vqa_blind_n15,0.6547085201793722,,0.3004484304932735,223.0,,223.0
Qwen3-VL-8B-Instruct,pretrained,0.672645739910314,0.29596412556053814,0.32286995515695066,223.0,223.0,223.0
humans,humans,,,0.2739373063883704,,,223.0
llava-v1.6-mistral-7b-hf,pretrained,0.39461883408071746,,0.26905829596412556,223.0,,223.0
