model,overall,Background,Co-occurring Objects,Orientation,Shape,Texture and Noise,Colorization,Lighting and Shadows,Perspective and Angle,Relative Size,Context,Material,Packaging,Position,Size,Appearance,Motion Blur
InternVL3_5-1B,0.543 (1303/2400),0.578 (1102/1908),0.567 (512/903),0.564 (431/764),0.449 (180/401),0.451 (130/288),0.435 (108/248),0.553 (57/103),0.400 (40/100),0.520 (39/75),1.000 (3/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
InternVL3_5-1B,0.420 (1008/2400),0.450 (858/1908),0.496 (448/903),0.424 (324/764),0.264 (106/401),0.347 (100/288),0.339 (84/248),0.417 (43/103),0.220 (22/100),0.387 (29/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-1B,0.377 (905/2400),0.405 (772/1908),0.425 (384/903),0.402 (307/764),0.237 (95/401),0.312 (90/288),0.278 (69/248),0.359 (37/103),0.260 (26/100),0.360 (27/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),1.000 (1/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-2B,0.611 (1467/2400),0.647 (1234/1908),0.621 (561/903),0.654 (500/764),0.534 (214/401),0.521 (150/288),0.464 (115/248),0.592 (61/103),0.470 (47/100),0.627 (47/75),1.000 (3/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
InternVL3_5-2B,0.410 (985/2400),0.437 (834/1908),0.422 (381/903),0.420 (321/764),0.317 (127/401),0.396 (114/288),0.319 (79/248),0.417 (43/103),0.330 (33/100),0.493 (37/75),0.333 (1/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-2B,0.290 (697/2400),0.305 (581/1908),0.290 (262/903),0.291 (222/764),0.239 (96/401),0.319 (92/288),0.250 (62/248),0.311 (32/103),0.250 (25/100),0.280 (21/75),0.333 (1/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-4B,0.780 (1872/2400),0.804 (1534/1908),0.775 (700/903),0.825 (630/764),0.743 (298/401),0.670 (193/288),0.685 (170/248),0.767 (79/103),0.680 (68/100),0.840 (63/75),1.000 (3/3),0.500 (1/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1)
InternVL3_5-4B,0.624 (1498/2400),0.661 (1262/1908),0.633 (572/903),0.671 (513/764),0.536 (215/401),0.483 (139/288),0.504 (125/248),0.660 (68/103),0.520 (52/100),0.613 (46/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),1.000 (1/1),0.000 (0/1),1.000 (1/1),0.000 (0/1)
InternVL3_5-8B,0.782 (1877/2400),0.811 (1548/1908),0.797 (720/903),0.831 (635/764),0.746 (299/401),0.625 (180/288),0.629 (156/248),0.806 (83/103),0.670 (67/100),0.773 (58/75),0.667 (2/3),0.500 (1/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1)
InternVL3_5-8B,0.688 (1651/2400),0.740 (1412/1908),0.711 (642/903),0.745 (569/764),0.571 (229/401),0.497 (143/288),0.496 (123/248),0.670 (69/103),0.570 (57/100),0.680 (51/75),1.000 (3/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
InternVL3_5-8B,0.651 (1562/2400),0.696 (1328/1908),0.653 (590/903),0.705 (539/764),0.561 (225/401),0.531 (153/288),0.427 (106/248),0.660 (68/103),0.600 (60/100),0.653 (49/75),0.667 (2/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
Qwen3-4B,0.000 (0/2368),0.000 (0/1882),0.000 (0/891),0.000 (0/751),0.000 (0/397),0.000 (0/287),0.000 (0/246),0.000 (0/101),0.000 (0/97),0.000 (0/74),0.000 (0/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
Qwen3-VL-2B-Instruct,0.730 (205/281),0.761 (169/222),0.711 (86/121),0.798 (71/89),0.620 (31/50),0.571 (8/14),0.633 (19/30),0.667 (6/9),0.643 (9/14),0.833 (10/12),1.000 (1/1),N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-VL-2B-Instruct,0.442 (1060/2400),0.460 (877/1908),0.443 (400/903),0.474 (362/764),0.339 (136/401),0.434 (125/288),0.367 (91/248),0.534 (55/103),0.360 (36/100),0.493 (37/75),0.333 (1/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
Qwen3-VL-2B-Instruct,0.358 (859/2400),0.369 (704/1908),0.375 (339/903),0.385 (294/764),0.267 (107/401),0.358 (103/288),0.319 (79/248),0.408 (42/103),0.250 (25/100),0.320 (24/75),0.333 (1/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
Qwen3-VL-4B-Instruct,0.746 (1790/2400),0.776 (1481/1908),0.731 (660/903),0.810 (619/764),0.676 (271/401),0.642 (185/288),0.629 (156/248),0.738 (76/103),0.650 (65/100),0.787 (59/75),1.000 (3/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1)
Qwen3-VL-4B-Instruct,0.466 (1119/2400),0.481 (917/1908),0.440 (397/903),0.495 (378/764),0.426 (171/401),0.455 (131/288),0.403 (100/248),0.573 (59/103),0.420 (42/100),0.520 (39/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),1.000 (1/1),0.000 (0/1),1.000 (1/1),0.000 (0/1)
Qwen3-VL-8B-Instruct,0.785 (1885/2400),0.819 (1562/1908),0.784 (708/903),0.842 (643/764),0.698 (280/401),0.670 (193/288),0.653 (162/248),0.786 (81/103),0.700 (70/100),0.827 (62/75),1.000 (3/3),0.500 (1/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1)
Qwen3-VL-8B-Instruct,0.570 (1369/2400),0.593 (1132/1908),0.539 (487/903),0.622 (475/764),0.529 (212/401),0.524 (151/288),0.460 (114/248),0.602 (62/103),0.570 (57/100),0.560 (42/75),0.667 (2/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
llava-1.5-7b-hf,0.579 (1389/2400),0.614 (1172/1908),0.591 (534/903),0.618 (472/764),0.524 (210/401),0.455 (131/288),0.419 (104/248),0.515 (53/103),0.470 (47/100),0.653 (49/75),0.667 (2/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
llava-1.5-7b-hf,0.295 (707/2400),0.300 (572/1908),0.315 (284/903),0.296 (226/764),0.272 (109/401),0.274 (79/288),0.254 (63/248),0.301 (31/103),0.210 (21/100),0.373 (28/75),0.000 (0/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),1.000 (1/1),0.000 (0/1),0.000 (0/1)
llava-v1.6-mistral-7b-hf,0.630 (1511/2400),0.660 (1260/1908),0.651 (588/903),0.688 (526/764),0.561 (225/401),0.517 (149/288),0.460 (114/248),0.553 (57/103),0.500 (50/100),0.653 (49/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
llava-v1.6-mistral-7b-hf,0.380 (911/2400),0.385 (735/1908),0.385 (348/903),0.403 (308/764),0.349 (140/401),0.333 (96/288),0.323 (80/248),0.408 (42/103),0.350 (35/100),0.453 (34/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
llava-v1.6-mistral-7b-hf,0.376 (902/2400),0.385 (734/1908),0.391 (353/903),0.402 (307/764),0.337 (135/401),0.316 (91/288),0.306 (76/248),0.320 (33/103),0.350 (35/100),0.480 (36/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),1.000 (1/1),1.000 (1/1),0.000 (0/1)
