,,mean,mean,mean,count,count,count
,,correct,correct,correct,correct,correct,correct
condition,,,blind,inst blind,,blind,inst blind
model,folder,,,,,,
InternVL3_5-1B,pretrained,0.434,0.2767,0.2573,1500.0,1500.0,1500.0
InternVL3_5-2B,pretrained,0.5173,0.254,0.2607,1500.0,1500.0,1500.0
InternVL3_5-4B,pretrained,0.6427,0.274,0.2453,1500.0,1500.0,1500.0
InternVL3_5-8B,pretrained,0.6266,0.2967,0.284,1074.0,1500.0,1500.0
Qwen3-8B-Base,pretrained,0.212,,,1500.0,,
Qwen3-VL-2B-Instruct,pretrained,0.5167,0.206,0.2387,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct,A0_SFT_vqa_gt,0.6495,,0.258,1090.0,,1500.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_blind_n10,0.598,0.26,0.268,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_n15_blind_inst,0.586,,0.2673,1500.0,,1500.0
Qwen3-VL-4B-Instruct,D1_JS_mmstar_blind,0.6007,0.302,0.2933,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct,pretrained,0.638,0.248,0.218,1500.0,1500.0,1500.0
Qwen3-VL-8B-Instruct,A0_JS_vqa_gt_10,,,0.2787,,,1500.0
Qwen3-VL-8B-Instruct,A0_SFT_vqa_gt,0.648,,0.2827,1500.0,,1500.0
Qwen3-VL-8B-Instruct,A1_JS_vqa_blind_n10,0.646,,0.2833,1500.0,,1500.0
Qwen3-VL-8B-Instruct,D0_SFT_mmstar_blind,0.6313,,0.2933,1500.0,,1500.0
Qwen3-VL-8B-Instruct,Qwen3-VL-8B-Instruct_A1_JS_vqa_blind_n15,0.6367,,0.288,1500.0,,1500.0
Qwen3-VL-8B-Instruct,pretrained,0.66,0.234,0.252,1500.0,1500.0,1500.0
llava-v1.6-mistral-7b-hf,pretrained,0.3433,0.2167,0.2153,1500.0,1500.0,1500.0
