,,mean,mean,mean,count,count,count
,,correct,correct,correct,correct,correct,correct
condition,,,blind,inst blind,,blind,inst blind
model,folder,,,,,,
InternVL3_5-1B,pretrained,0.5429,0.42,0.3771,2400.0,2400.0,2400.0
InternVL3_5-2B,pretrained,0.6112,0.4104,0.2904,2400.0,2400.0,2400.0
InternVL3_5-4B,pretrained,0.78,,0.6242,2400.0,,2400.0
InternVL3_5-8B,pretrained,0.7821,0.6879,0.6508,2400.0,2400.0,2400.0
Qwen3-VL-2B-Instruct,pretrained,0.7295,0.4417,0.3579,281.0,2400.0,2400.0
Qwen3-VL-4B-Instruct,A0_SFT_vqa_gt,0.7294,,0.4938,85.0,,2400.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_blind_n10,0.6907,0.4625,0.3862,97.0,2400.0,2400.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_n15_blind_inst,0.7404,,0.4358,2400.0,,2400.0
Qwen3-VL-4B-Instruct,D1_JS_mmstar_blind,0.7294,0.5092,0.4742,85.0,2400.0,2400.0
Qwen3-VL-4B-Instruct,Qwen3-VL-4B-Instruct_A1_JS_vqa_n15_blind_inst,0.7529,,0.4358,85.0,,2400.0
Qwen3-VL-4B-Instruct,pretrained,0.7458,,0.4662,2400.0,,2400.0
Qwen3-VL-8B-Instruct,A1_JS_vqa_blind_n10,0.7621,,0.4479,2400.0,,2400.0
Qwen3-VL-8B-Instruct,D0_SFT_mmstar_blind,0.765,,0.5286,2400.0,,280.0
Qwen3-VL-8B-Instruct,pretrained,0.7854,,0.5704,2400.0,,2400.0
llava-1.5-7b-hf,pretrained,0.5788,,0.2946,2400.0,,2400.0
llava-v1.6-mistral-7b-hf,pretrained,0.6296,0.3796,0.3758,2400.0,2400.0,2400.0
