,,mean,mean,mean,count,count,count
,,correct,correct,correct,correct,correct,correct
condition,,vqa 1k,vqa 1k blind,vqa 1k inst blind,vqa 1k,vqa 1k blind,vqa 1k inst blind
model,folder,,,,,,
InternVL3_5-1B,pretrained,0.7587,0.3467,0.3523,1000.0,1000.0,1000.0
InternVL3_5-2B,pretrained,0.7767,0.3443,0.3347,1000.0,1000.0,1000.0
InternVL3_5-4B,pretrained,0.7807,0.331,0.3517,1000.0,1000.0,1000.0
InternVL3_5-8B,pretrained,0.8127,0.375,0.3747,1000.0,1000.0,1000.0
Qwen3-VL-2B-Instruct,pretrained,0.804,0.356,0.3603,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct,A0_SFT_vqa_gt,0.8213,,0.4067,1000.0,,1000.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_blind_n10,0.804,0.366,0.37,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct,A1_JS_vqa_n15_blind_inst,0.809,,0.3697,1000.0,,1000.0
Qwen3-VL-4B-Instruct,D1_JS_mmstar_blind,0.819,0.3827,0.394,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct,pretrained,0.821,0.3443,0.3747,1000.0,1000.0,1000.0
Qwen3-VL-8B-Instruct,A0_JS_vqa_gt_10,0.848,,0.4087,1000.0,,1000.0
Qwen3-VL-8B-Instruct,A1_JS_vqa_blind_n10,0.8257,,0.3837,1000.0,,1000.0
Qwen3-VL-8B-Instruct,D0_SFT_mmstar_blind,0.846,,0.396,1000.0,,1000.0
Qwen3-VL-8B-Instruct,pretrained,0.8463,0.3487,0.381,1000.0,1000.0,1000.0
llava-v1.6-mistral-7b-hf,pretrained,0.828,0.35,0.36,1000.0,1000.0,1000.0
