,,mean,mean,mean,mean,count,count,count,count
,,correct,correct,correct,correct,correct,correct,correct,correct
condition,,vqa 5k,vqa 5k blind,vqa 5k inst blind,vqa 5k sys inst blind,vqa 5k,vqa 5k blind,vqa 5k inst blind,vqa 5k sys inst blind
model,folder,,,,,,,,
InternVL3_5-1B,pretrained,0.7369,0.3409,0.3498,0.3397,5000.0,5000.0,5000.0,8255.0
InternVL3_5-2B,pretrained,0.769,0.3607,0.3545,0.362,5000.0,5000.0,5000.0,5000.0
InternVL3_5-4B,pretrained,0.7859,0.3607,0.3845,,5000.0,5000.0,5000.0,
InternVL3_5-8B,pretrained,0.8125,0.3961,0.3815,,5000.0,5000.0,5000.0,
Qwen3-VL-2B-Instruct,pretrained,0.793,0.3549,0.3703,,5000.0,5000.0,5000.0,
Qwen3-VL-4B-Instruct,A0_SFT_vqa_gt,0.819,,0.3691,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct,A1_JS_vqa_blind_n10,0.8099,0.4063,0.4023,,5000.0,5000.0,5000.0,
Qwen3-VL-4B-Instruct,A1_JS_vqa_n15_blind_inst,0.8151,,0.4019,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct,D1_JS_mmstar_blind,0.8256,0.4201,0.4065,,5000.0,5000.0,5000.0,
Qwen3-VL-4B-Instruct,pretrained,0.8269,0.3675,0.374,,5000.0,5000.0,5000.0,
Qwen3-VL-8B-Instruct,A0_JS_vqa_gt_10,0.8217,,0.3717,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct,A0_SFT_vqa_gt,0.8183,,,,4428.0,,,
Qwen3-VL-8B-Instruct,A1_JS_vqa_blind_n10,0.8097,,0.3994,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct,D0_SFT_mmstar_blind,0.8303,,0.4039,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct,pretrained,0.8286,0.3621,0.3745,,5000.0,5000.0,5000.0,
llava-v1.6-mistral-7b-hf,pretrained,0.8171,0.368,0.38,,5000.0,5000.0,5000.0,
