question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,3,35.56,2025-11-27T19:39:52.387778
1,6,3,3,20.47,2025-11-27T19:40:13.076161
2,662,4,4,9.85,2025-11-27T19:40:23.146936
3,773,1,2,8.08,2025-11-27T19:40:31.456952
4,556,3,3,7.56,2025-11-27T19:40:39.234013
5,768,2,2,14.06,2025-11-27T19:40:53.530763
6,802,2,3,12.84,2025-11-27T19:41:06.587211
7,598,4,4,17.88,2025-11-27T19:41:24.687781
8,70,2,3,12.18,2025-11-27T19:41:37.082086
9,97,4,2,7.54,2025-11-27T19:41:45.042045
10,462,3,3,8.29,2025-11-27T19:41:53.572954
11,428,3,3,8.89,2025-11-27T19:42:02.697064
12,13,1,3,7.09,2025-11-27T19:42:10.011028
13,414,2,3,10.32,2025-11-27T19:42:20.543864
14,550,2,4,22.83,2025-11-27T19:42:43.595041
15,816,3,4,7.49,2025-11-27T19:42:51.321986
16,788,1,3,8.56,2025-11-27T19:43:00.131061
17,317,2,3,6.56,2025-11-27T19:43:06.909103
18,160,2,3,6.83,2025-11-27T19:43:13.957191
19,357,2,2,8.65,2025-11-27T19:43:22.843758
20,423,4,3,7.65,2025-11-27T19:43:30.718410
21,250,4,4,7.28,2025-11-27T19:43:38.231651
22,129,4,3,5.97,2025-11-27T19:43:44.433392
23,349,4,3,7.54,2025-11-27T19:43:52.191060
24,392,4,3,11.54,2025-11-27T19:44:04.143981
25,384,1,2,10.88,2025-11-27T19:44:15.251065
26,502,2,2,6.77,2025-11-27T19:44:22.241847
27,552,4,3,10.4,2025-11-27T19:44:32.879151
28,804,2,2,8.36,2025-11-27T19:44:41.457742
29,654,3,2,7.68,2025-11-27T19:44:49.365008
30,544,4,3,7.23,2025-11-27T19:44:56.827974
31,529,2,2,8.07,2025-11-27T19:45:05.135249
32,89,2,2,11.27,2025-11-27T19:45:16.641269
33,140,3,2,8.47,2025-11-27T19:45:25.343079
34,10,4,3,4.31,2025-11-27T19:45:29.890246
35,433,2,2,7.61,2025-11-27T19:45:37.726107
36,587,1,3,5.67,2025-11-27T19:45:43.616553
37,227,3,2,6.48,2025-11-27T19:45:50.349629
38,430,2,2,7.36,2025-11-27T19:45:57.952388
39,74,2,2,5.93,2025-11-27T19:46:04.105271
40,281,3,2,6.94,2025-11-27T19:46:11.265010
41,799,2,3,6.75,2025-11-27T19:46:18.245305
42,263,1,3,5.41,2025-11-27T19:46:23.866582
43,264,2,2,6.67,2025-11-27T19:46:30.759052
44,29,2,3,5.02,2025-11-27T19:46:36.008878
45,132,3,3,9.4,2025-11-27T19:46:45.620158
46,436,3,3,6.35,2025-11-27T19:46:52.216059
47,708,2,2,6.86,2025-11-27T19:46:59.299107
48,194,1,2,6.53,2025-11-27T19:47:06.047117
49,269,1,3,7.04,2025-11-27T19:47:13.306572
50,254,1,2,3.07,2025-11-27T19:47:16.600290
51,419,3,2,3.51,2025-11-27T19:47:20.330349
52,228,1,3,9.39,2025-11-27T19:47:29.932515
53,229,2,2,3.54,2025-11-27T19:47:33.707885
54,412,2,3,2.89,2025-11-27T19:47:36.814132
55,159,2,2,6.13,2025-11-27T19:47:43.179104
56,162,2,3,4.58,2025-11-27T19:47:47.970317
57,391,3,3,3.15,2025-11-27T19:47:51.333489
58,394,4,3,8.73,2025-11-27T19:48:00.276577
59,266,2,3,4.44,2025-11-27T19:48:04.932370
60,420,3,2,3.78,2025-11-27T19:48:08.938721
61,144,2,3,4.08,2025-11-27T19:48:13.256708
62,145,1,2,3.87,2025-11-27T19:48:17.350554
63,659,3,3,3.95,2025-11-27T19:48:21.528465
64,660,2,3,2.97,2025-11-27T19:48:24.728634
65,31,1,3,2.65,2025-11-27T19:48:27.600885
66,99,2,2,3.42,2025-11-27T19:48:31.237667
67,61,1,3,2.69,2025-11-27T19:48:34.154458
68,37,2,3,3.02,2025-11-27T19:48:37.409228
69,249,2,2,3.81,2025-11-27T19:48:41.440122
70,353,1,3,3.98,2025-11-27T19:48:45.635264
71,329,2,2,3.01,2025-11-27T19:48:48.857004
72,347,2,3,3.07,2025-11-27T19:48:52.143865
73,247,3,3,4.41,2025-11-27T19:48:56.781462
74,809,3,2,6.49,2025-11-27T19:49:03.505803
75,88,1,3,2.49,2025-11-27T19:49:06.214228
76,393,2,3,3.2,2025-11-27T19:49:09.630354
77,100,2,3,3.0,2025-11-27T19:49:12.857619
78,113,3,2,2.93,2025-11-27T19:49:16.004828
79,147,2,3,2.23,2025-11-27T19:49:18.456643
80,397,3,2,5.35,2025-11-27T19:49:24.023350
81,360,3,3,2.47,2025-11-27T19:49:26.726791
82,315,2,3,3.49,2025-11-27T19:49:30.447096
83,307,3,3,5.04,2025-11-27T19:49:35.709534
84,260,1,3,5.64,2025-11-27T19:49:41.566666
85,431,2,2,3.85,2025-11-27T19:49:45.636509
86,212,2,3,4.04,2025-11-27T19:49:49.901288
87,219,1,2,3.14,2025-11-27T19:49:53.264197
88,386,4,2,10.06,2025-11-27T19:50:03.544945
89,330,2,2,4.53,2025-11-27T19:50:08.300248
90,319,2,3,2.51,2025-11-27T19:50:11.043546
91,447,1,3,3.64,2025-11-27T19:50:14.885622
92,442,2,2,3.32,2025-11-27T19:50:18.421614
93,383,3,3,3.06,2025-11-27T19:50:21.697520
94,375,1,3,2.56,2025-11-27T19:50:24.483521
95,292,1,3,1.94,2025-11-27T19:50:26.642001
96,401,3,2,3.01,2025-11-27T19:50:29.873520
97,295,2,3,2.18,2025-11-27T19:50:32.279454
98,493,1,3,2.11,2025-11-27T19:50:34.616828
99,919,3,2,12.2,2025-11-27T19:50:47.040604
100,609,1,2,4.07,2025-11-27T19:50:51.348294
101,569,2,3,3.72,2025-11-27T19:50:55.281512
102,168,3,3,3.38,2025-11-27T19:50:58.888882
103,669,2,3,2.88,2025-11-27T19:51:01.995322
104,395,3,3,2.9,2025-11-27T19:51:05.114787
105,882,2,2,12.4,2025-11-27T19:51:17.735974
106,221,2,3,3.08,2025-11-27T19:51:21.038493
107,54,2,3,3.32,2025-11-27T19:51:24.576001
108,551,3,2,7.68,2025-11-27T19:51:32.471103
109,504,3,2,4.41,2025-11-27T19:51:37.124588
110,913,2,3,2.89,2025-11-27T19:51:40.217243
