,response,response,response,response,response,response,response,response,response,response,response,response
dataset,mmstar,mmstar,mmstar,spubench,spubench,vqa1k,vqa5k,vqa_1k,vqa_1k,vqa_1k,vqa_5k,vqa_5k
condition,,blind,inst_blind,,inst_blind,,,blind,inst_blind,sys_inst_blind,blind,inst_blind
model,,,,,,,,,,,,
InternVL3_5-1B,1500.0,,,2400.0,2400.0,1000.0,5000.0,1000.0,1000.0,,5000.0,
InternVL3_5-2B,1500.0,1500.0,,2400.0,2400.0,,5000.0,1000.0,,,5000.0,
InternVL3_5-4B,1500.0,1500.0,1500.0,2400.0,2400.0,1000.0,5454.0,1000.0,1000.0,1000.0,5000.0,
InternVL3_5-8B,1500.0,,1500.0,2400.0,2400.0,1000.0,5000.0,,1000.0,,,
Qwen3-0.6B-Base,1500.0,,,2400.0,,1000.0,,,,,,
Qwen3-1.7B-Base,1500.0,,,2400.0,,1000.0,,,,,,
Qwen3-4B-Base,1500.0,,,2400.0,,,,,,,,
Qwen3-8B-Base,1500.0,,,,,1000.0,,,,,,
Qwen3-VL-2B-Instruct,,1500.0,,2400.0,2400.0,,5000.0,,,,5000.0,
Qwen3-VL-4B-Instruct,1500.0,1500.0,1500.0,2400.0,2400.0,1000.0,5000.0,1000.0,1000.0,1000.0,5000.0,
Qwen3-VL-8B-Instruct,534.0,,1500.0,2400.0,2400.0,1000.0,6424.0,,1000.0,,,
llava-1.5-7b-hf,775.0,,775.0,2400.0,2400.0,1000.0,5000.0,,1000.0,,912.0,5000.0
llava-v1.6-mistral-7b-hf,1500.0,,1500.0,,2400.0,,5000.0,,1000.0,,5000.0,
llava-v1.6-vicuna-7b-hf,1500.0,,1500.0,,2400.0,,5000.0,,1000.0,,5000.0,
